Iteration,Fitness,Chromosomes
0,18.57763516,[1.74, -3.45, -3.18, 0.74, -15.53, 8.9, 6.78, 13.52, 1.68, -14.43]
10,13.87170267,[8.82, 5.4718042, 6.85, 0.28, 5.21, 0.1, 1.73, -3.05, -5.02, -4.83521376]
20,8.17724423,[1.74, -3.45, -3.18, -1.03, -0.15155167, 0.1, 1.73, -3.05, 2.27276539, -0.1312294]
30,6.67643999,[-0.09642115, -1.25100024, -0.96, 0.74, 1.4, 0.1, 1.73, -3.05, 2.28395723, -1.13096972]
40,5.21581865,[0.08, -0.33167997, -0.96, -1.03, -0.15155167, 0.1, -1.86945036, -3.05, -1.0907509, -0.1312294]
50,3.15830245,[0.08, -0.33167997, -0.96, -1.03, -0.15155167, 0.1, -0.08619582, 1.00705325, -1.0907509, -0.1312294]
60,2.77810506,[0.08, -0.8933375, -0.96, -0.01995788, -0.15155167, 0.1, -0.08619582, 1.00705325, -1.0907509, -0.1312294]
70,2.40977245,[0.08230891, -0.8933375, -0.96, -0.01995788, -0.15155167, 0.1, -0.08619582, -0.09972249, -0.98220817, -0.1312294]
80,2.00282738,[0.08230891, -0.8933375, 0.00899864, -0.01995788, -0.15155167, 0.00147736, -0.08619582, -0.09972249, -0.98220817, -0.1312294]
90,1.98685861,[-0.05948879, -0.8933375, 0.00899864, -0.01995788, -0.15155167, 0.00147736, -0.08619582, -0.09972249, -0.98220817, -0.1312294]
100,1.59139807,[0.11886938, 0.08501526, 0.00899864, -0.01995788, -0.15155167, 0.00147736, 0.00650373, -0.09972249, -0.98220817, -0.1312294]
110,0.59230564,[0.08, 0.02866326, 0.00899864, -0.01995788, 0.14190744, 0.00147736, 0.00650373, -0.09972249, 0.06480478, -0.1312294]
120,0.5715693,[-0.05948879, 0.02866326, 0.00899864, -0.01995788, 0.14190744, 0.00147736, 0.00650373, -0.09972249, 0.06480478, -0.1312294]
130,0.54584196,[-0.05948879, 0.02866326, 0.00899864, -0.01995788, 0.14190744, 0.00147736, 0.00650373, -0.09972249, 0.02714729, -0.1312294]
140,0.54584196,[-0.05948879, 0.02866326, 0.00899864, -0.01995788, 0.14190744, 0.00147736, 0.00650373, -0.09972249, 0.02714729, -0.1312294]
150,0.53235101,[0.04176058, 0.02866326, 0.00899864, -0.01995788, 0.14190744, 0.00147736, 0.00650373, -0.09972249, 0.02714729, -0.1312294]
